chr	start	end	strand	gene_id	gene_name	cell_cycle_low_confidence	cell_cycle_high_confidence	Campbell_2020_cell_cycle_phase	Spellman_1998_cell_cycle_phase	Lichtenberg_2004_cell_cycle_phase	chan_half_life_av	chan_half_life_rep1	chan_half_life_rep2	Ho_cluster	kubik_-1nucleosome	Luisa_annotation	RPB	DECAY	Histones	metzlraz_cor_SC	metzlraz_cor_Pi	metzlraz_cor_N	metzlraz_cor_genetic_perturbations	metzlraz_cor_environmental_perturbations	metzlraz_EG_SC	metzlraz_EG_genetic_pertubation	metzlraz_EG_enviromental_pertubation	miller_half_life	miller_synth_rate	neymotin_deg_rate	neymotin_half_life	neymotin_threhold	neymotin_abundance	neymotin_synth_rate	rhee_TATAbox_class	rhee_TAF_class	verifed_ORF
chrXI	149062	150856	-	YKL161C	KDX1	TRUE	NA	G1	NA	NA	4.554798243	4.444229464	4.665367022	NA	stable		NA	NA	NA	0.027575984	0.014307186	0.003132583	-0.122910093	-0.154895911	NA	0.8285691	0.213379015	NA	NA	0.0414	20.1	1	0.7092	0.029	NA	NA	TRUE
chrXIII	645656	646777	+	YMR191W	SPG5	TRUE	NA	S	NA	NA	6.887437236	5.637358942	8.13751553	NA	stable		NA	NA	NA	-0.02941633	-0.009768571	0.006154605	-0.048586817	-0.01667785	0.876074054	0.576109466	0.392278594	17.21	9.21	0.0459	17.8	1	2.856	0.131	TATA-containing	TAF1-enriched	TRUE
chrXII	280940	281726	-	YLR073C	RFU1	TRUE	NA	S	NA	NA	1.286612378	1.400631593	1.172593162	PAC cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	-1.161036956	-0.52623872	NA	3.37	75.71	0.3588	2	1	0.6978	0.25	TATA-less	TAF1-enriched	TRUE
chrXV	294677	296221	-	YOL016C	CMK2	TRUE	NA	G1	G1	NA	3.681152764	3.333853099	4.028452429	NA	stable		NA	NA	NA	0.051852114	0.06781444	0.0472019	-0.062294808	-0.001866706	0.121890282	0.963258307	0.471247046	13.38	6.17	0.0831	9.1	1	3.407	0.283	TATA-less	TAF1-enriched	TRUE
chrIV	491489	492421	+	YDR025W	RPS11A	TRUE	NA	S	NA	NA	13.22935255	11.79738227	14.66132283	RP cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.119376803	-0.283566558	-0.538425987	28.3	188.37	0.0266	35.2	1	99.47	2.646	TATA-less	TAF1-enriched	TRUE
chrV	48399	51594	-	YEL055C	POL5	TRUE	NA	S	NA	NA	5.592120005	5.283483613	5.900756396	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.22314787	-0.45708318	-0.133467379	18.15	15.77	0.0888	8.5	1	5.379	0.478	TATA-less	TAF1-enriched	TRUE
chrV	359459	360406	+	YER100W	UBC6	TRUE	NA	S	NA	NA	4.768874752	4.111411322	5.426338182	NA	stable		NA	NA	NA	0.118579385	0.096703758	0.100895839	0.111015695	0.041151783	0.012499864	0.14652276	0.140329685	11.52	15.12	0.0649	12	1	6.19	0.402	TATA-less	TAF1-enriched	TRUE
chrXII	270983	271577	+	YLR068W	FYV7	TRUE	NA	S	NA	NA	2.607687535	2.713900505	2.501474564	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.30346042	-0.31098841	-0.06052698	NA	NA	0.0659	11.7	1	3.917	0.258	NA	NA	TRUE
chrVII	440018	440606	+	YGL029W	CGR1	TRUE	NA	S	NA	NA	1.938542801	2.047665114	1.829420487	PAC cluster	stable		NA	NA	NA	-0.034039044	-0.060816486	0.067078692	0.436329975	0.21118283	-0.151469009	-0.53119062	0.087123008	NA	NA	0.0935	8	1	8.609	0.805	TATA-less	TAF1-enriched	TRUE
chrIII	238903	240132	+	YCR069W	CPR4	TRUE	NA	S	S/G2	NA	5.674884272	5.421467021	5.928301523	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.065302974	0.22511698	0.090305023	18.8	7.33	0.076	10	1	6.162	0.468	TATA-less	TAF1-enriched	TRUE
chrIX	93585	94899	+	YIL136W	OM45	TRUE	NA	G2_M	NA	NA	NA	6.397837288	NA	iESR cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.047757165	1.047775487	1.079350181	NA	NA	0.0789	9.6	1	2.624	0.207	TATA-containing	TAF1-enriched	TRUE
chrIII	193280	194390	+	YCR036W	RBK1	TRUE	NA	G2_M	NA	NA	5.695133725	6.141716252	5.248551197	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.283766799	0.435494502	0.226660643	13.76	8.09	0.0499	16.1	1	4.052	0.202	TATA-less	TAF1-enriched	TRUE
chrXI	275254	277208	+	YKL088W	CAB3	TRUE	NA	G1	NA	NA	2.238908295	2.228001655	2.249814934	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.280829821	-0.005269539	NA	7.13	11.76	0.1071	6.9	1	2.078	0.223	TATA-less	TAF1-enriched	TRUE
chrXII	242200	243583	+	YLR048W	RPS0B	TRUE	NA	S	NA	NA	11.46957799	10.45109275	12.48806323	RP cluster	fragile		NA	NA	NA	-0.135236198	-0.072572501	-0.107352856	-0.109922843	-0.027745583	-0.135277547	0.042310928	-0.186482941	44.08	121.25	NA	NA	NA	NA	NA	TATA-less	TAF1-enriched	TRUE
chrV	43221	45072	+	YEL058W	PCM1	TRUE	NA	G1	NA	NA	9.744846024	9.795087036	9.694605012	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.951175132	0.191553562	0.263086557	34.46	16.07	0.0669	11.6	1	7.634	0.511	TATA-less	TAF1-enriched	TRUE
chrVII	718831	720165	+	YGR113W	DAM1	TRUE	NA	S	S	NA	2.198009886	1.605296171	2.790723601	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.446647222	-0.041211198	0.058379647	3.63	21.33	0.0811	9.3	1	2.003	0.162	TATA-less	TAF1-enriched	TRUE
chrII	550927	553252	-	YBR156C	SLI15	TRUE	NA	G1	NA	NA	2.032862104	2.288703352	1.777020856	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018715244	-0.074189767	NA	NA	0.1881	3.8	1	1.298	0.244	TATA-less	TAF1-enriched	TRUE
chrV	85623	86352	+	YEL034W	HYP2	TRUE	NA	S	NA	NA	8.378885551	8.555460947	8.202310154	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.046753545	0.052238994	-0.053789439	24.5	189.27	0.034	25.6	1	137.7	4.681	TATA-less	TAF1-enriched	TRUE
chrX	697120	698274	+	YJR142W	YJR142W	TRUE	NA	G2_M	NA	NA	7.158038526	6.186893224	8.129183828	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.130836888	0.079675958	NA	20.49	8.12	0.0476	17	1	3.38	0.161	TATA-less	TAF1-enriched	TRUE
chrXV	251108	252697	-	YOL041C	NOP12	TRUE	NA	S	NA	NA	3.835529776	3.600459523	4.070600029	PAC cluster	fragile		NA	NA	NA	-0.035712815	-0.00560377	0.003292897	0.418398374	0.176401758	-0.204973464	-0.333729683	-0.028941621	11.26	29.32	0.0834	9.1	1	7.56	0.631	TATA-less	TAF1-enriched	TRUE
chrXII	274141	275211	-	YLR070C	XYL2	TRUE	NA	G2_M	NA	NA	3.930197805	4.145266549	3.715129061	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.209481775	0.370847549	NA	NA	0.0599	13.1	0	0.774	0.046	NA	NA	TRUE
chrVIII	173239	175496	+	YHR032W	ERC1	TRUE	NA	S	NA	NA	2.372959173	2.107377197	2.638541148	NA	fragile		NA	NA	NA	0.132091374	0.113388409	0.097718385	0.21355333	0.130802889	NA	-0.342580023	NA	NA	NA	0.0848	8.9	1	3.247	0.275	NA	NA	TRUE
chrXII	528227	530588	+	YLR188W	MDL1	TRUE	NA	G1	NA	NA	5.006419885	4.614585583	5.398254187	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.4098901	-0.039600838	0.132464888	18.07	9.19	0.0658	11.8	1	3.709	0.244	TATA-containing	TAF1-enriched	TRUE
chrXIV	401018	402653	+	YNL119W	NCS2	TRUE	NA	S	NA	NA	1.615295901	1.635105968	1.595485834	RP cluster	stable		NA	NA	NA	0.029712203	0.010766932	0.053102112	0.149036962	0.085389307	-0.301906845	-0.30203285	-0.255162246	8.21	22.32	0.0269	34.6	1	2.73	0.073	TATA-less	TAF1-enriched	TRUE
chrIX	190953	193226	-	YIL091C	UTP25	TRUE	NA	S	NA	NA	1.972850682	1.987441504	1.95825986	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.640207394	-0.297016584	NA	11.86	36.84	0.1333	5.5	1	4.255	0.567	TATA-less	TAF1-enriched	TRUE
chrX	417479	419599	-	YJL010C	NOP9	TRUE	NA	S	NA	NA	3.417039028	3.319144013	3.514934043	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.319721477	-0.408982153	-0.294056363	8.35	29.76	0.088	8.5	1	3.782	0.333	TATA-less	TAF1-enriched	TRUE
chrXVI	885764	886517	+	YPR172W	YPR172W	TRUE	NA	G2_M	NA	NA	12.94823038	10.80548174	15.09097901	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.01651789	0.012391725	NA	36.52	3.03	0.0471	17.2	1	2.367	0.112	TATA-less	TAF1-enriched	NA
chrIV	100429	101093	-	YDL200C	MGT1	TRUE	NA	G2_M	NA	NA	6.574072813	3.42540286	9.722742766	NA	stable		NA	NA	NA	0.038825481	0.016491559	0.103224805	0.312171258	0.175876377	0.510420193	0.218666265	0.081343258	15.73	4.8	0.0208	49.8	1	2.475	0.051	NA	NA	TRUE
chrXIII	190100	191923	-	YML043C	RRN11	TRUE	NA	S	NA	NA	NA	NA	1.10911356	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.120577382	-0.183938172	-0.261820178	4.23	27.55	0.169	4.3	1	2.568	0.434	TATA-less	TAF1-enriched	TRUE
chrV	156754	157592	+	YER002W	NOP16	TRUE	NA	S	NA	NA	2.977601103	2.632789393	3.322412812	NA	fragile		NA	NA	NA	-0.094706791	-0.048938538	-0.094166855	-0.023793861	-0.051096288	-0.037974975	-0.269169797	0.021187263	10.15	48.63	0.1184	6.2	1	9.04	1.07	TATA-less	TAF1-enriched	TRUE
chrII	739824	741142	+	YBR267W	REI1	TRUE	NA	S	NA	NA	1.620000472	1.617993059	1.622007885	PAC cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.273072219	-0.521197765	0.018595182	11.84	15.84	0.082	9.2	1	5.964	0.489	TATA-less	TAF1-enriched	TRUE
chrIV	779014	780288	+	YDR161W	YDR161W	TRUE	NA	S	NA	NA	5.412023933	5.233344105	5.59070376	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.11405255	-0.351235389	NA	19.03	26.73	0.0743	10.3	1	4.147	0.308	TATA-less	TAF1-enriched	TRUE
chrII	125058	126186	+	YBL050W	SEC17	TRUE	NA	G2_M	NA	NA	7.166543327	6.298542462	8.034544191	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.242887884	0.111433017	0.097049119	21.12	18.71	0.0481	16.8	1	8.126	0.391	TATA-less	TAF1-enriched	TRUE
chrX	242082	245258	+	YJL098W	SAP185	TRUE	NA	S	NA	NA	1.641816835	1.633363861	1.650269809	NA	fragile		NA	NA	NA	0.017429058	0.016534004	-0.060327917	-0.129632567	-0.159613195	-0.068478326	-0.316587659	0.093502179	3.27	36.38	0.1576	4.6	1	3.992	0.629	TATA-less	TAF1-depleted	TRUE
chrXIV	121007	122231	-	YNL274C	GOR1	TRUE	NA	G1	NA	NA	8.444140046	7.163187318	9.725092773	iESR cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.021219249	0.833483156	0.347380396	20.16	3.25	0.0769	9.9	1	2.698	0.208	NA	NA	TRUE
chrXII	35912	36361	-	YLL052C	AQY2	TRUE	NA	G2_M	NA	NA	3.593518003	4.237967568	2.949068438	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	0.240081259	0.049257819	NA	NA	0.0508	15.8	0	0.4692	0.024	TATA-containing	TAF1-enriched	TRUE
chrVIII	241612	241998	+	YHR072W-A	NOP10	TRUE	NA	S	NA	NA	4.434695345	4.111456033	4.757934656	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.212317095	-0.265524871	-0.100827428	NA	NA	0.0125	123	1	41.39	0.517	TATA-less	TAF1-depleted	TRUE
chrIX	53903	55046	-	YIL154C	IMP2'	TRUE	NA	G2_M	NA	NA	7.337897535	9.762476957	4.913318112	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.6	6.7	0.0774	9.8	1	2.489	0.193	NA	NA	TRUE
chrXV	48851	49521	+	YOL146W	PSF3	TRUE	NA	G1	NA	NA	5.920540644	5.587559766	6.253521522	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.672729954	0.05922163	0.047425768	12.36	8.09	0.0442	18.6	1	2.785	0.123	TATA-less	TAF1-enriched	TRUE
chrVIII	210818	212119	+	YHR052W	CIC1	TRUE	NA	S	NA	NA	3.310444409	3.503397867	3.117490951	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.189682113	-0.394129414	-0.361834692	11.19	62.9	0.0379	22.4	1	10.19	0.386	TATA-less	TAF1-depleted	TRUE
chrXI	25165	26448	+	YKL216W	URA1	TRUE	NA	S	NA	NA	6.364707441	6.051634274	6.677780607	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-1.778436336	-0.324397839	-0.418317591	18.04	76.11	0.0335	26	1	11.36	0.381	TATA-containing	TAF1-depleted	TRUE
chrVII	77943	78946	-	YGL224C	SDT1	TRUE	NA	G2_M	NA	NA	4.56679953	3.830359121	5.303239938	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.778762133	0.024505473	-0.043162622	17.2	7.23	0.0461	17.7	1	4.202	0.194	TATA-containing	TAF1-enriched	TRUE
chrXIII	790060	793457	-	YMR261C	TPS3	TRUE	NA	G1	NA	NA	5.587799501	4.426353114	6.749245888	NA	stable		NA	NA	NA	0.12273568	0.073874865	0.094477326	0.405003956	0.217436263	-0.145919909	0.24787217	0.132585087	17.7	12.95	0.0791	9.6	1	4.951	0.392	TATA-less	TAF1-depleted	TRUE
chrXVI	460620	462155	-	YPL050C	MNN9	TRUE	NA	S	NA	NA	3.483477741	2.995011643	3.971943839	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.324525372	-0.206171976	-0.214159615	17.84	22.83	0.0694	11.1	1	8.17	0.567	TATA-less	TAF1-enriched	TRUE
chrXII	131699	134098	+	YLL008W	DRS1	TRUE	NA	S	NA	NA	4.208820109	3.914250634	4.503389583	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.188154578	-0.434531425	-0.172376243	12	29.36	0.0933	8	1	7.979	0.744	TATA-less	TAF1-enriched	TRUE
chrXIII	271347	271577	-	YMR001C-A	YMR001C-A	TRUE	NA	G2_M	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chrII	364699	365743	-	YBR061C	TRM7	TRUE	NA	S	NA	NA	3.730903156	4.303568789	3.158237523	PAC cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.302035388	-0.316072314	-0.454461663	10.16	16.85	0.0629	12.4	1	3.92	0.247	TATA-less	TAF1-enriched	TRUE
chrX	153300	154748	-	YJL138C	TIF2	TRUE	NA	S	NA	NA	NA	NA	NA	RP cluster	stable		NA	NA	NA	0.039355846	0.061737713	-0.059621446	-0.373490426	-0.162662879	0.037008631	-0.084531979	0.024110838	50.3	94.87	0.0408	20.5	1	50.13	2.045	TATA-containing	TAF1-depleted	TRUE
chrII	89943	90664	+	YBL071W-A	KTI11	TRUE	NA	S	NA	NA	2.857412212	4.884739399	0.830085025	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.177877613	-0.197085985	-0.543140035	NA	NA	0.0832	9.1	0	5.713	0.475	TATA-less	TAF1-enriched	TRUE
chrXIV	349256	349789	-	YNL149C	PGA2	TRUE	NA	G2_M	NA	NA	NA	1.57982291	NA	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.091990087	-0.09363584	0.102908772	14.77	44.46	0.0335	26.1	1	11.28	0.378	TATA-less	TAF1-enriched	TRUE
chrV	483218	484366	-	YER156C	YER156C	TRUE	NA	S	NA	NA	5.647305248	5.16493217	6.129678325	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.460758187	-0.293523583	NA	20.97	32	0.0815	9.3	1	6.196	0.505	TATA-less	TAF1-enriched	TRUE
chrXII	660649	663192	+	YLR258W	GSY2	TRUE	NA	G1	NA	NA	5.882078791	5.057900441	6.706257141	iESR cluster	stable		NA	NA	NA	0.10718333	0.069302616	0.176945043	0.383593227	0.254064939	-0.431076001	0.857896832	0.466466355	17.13	5.58	NA	NA	NA	NA	NA	TATA-containing	TAF1-depleted	TRUE
chrVII	913404	914844	-	YGR210C	YGR210C	TRUE	NA	S	NA	NA	7.863045097	7.279753931	8.446336262	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.538090862	-0.276408646	NA	32.96	28.32	0.0714	10.7	1	6.054	0.432	TATA-less	TAF1-enriched	NA
chrXI	196243	200259	-	YKL129C	MYO3	TRUE	NA	G2_M	NA	NA	2.952097779	2.222373045	3.681822512	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.298748141	0.304040245	0.276432125	12.9	6.93	0.0842	9	1	2.081	0.175	NA	NA	TRUE
chrXIV	66433	68509	+	YNL299W	TRF5	TRUE	NA	S	NA	NA	1.201359433	1.018451508	1.384267358	PAC cluster	fragile		NA	NA	NA	0.014125629	0.001499309	-4.07E-04	-0.013260179	-0.049279688	0.092123299	-0.190518291	0.140383961	5.24	13.45	0.1018	7.3	1	1.989	0.203	TATA-less	TAF1-enriched	TRUE
chrXIII	725934	731123	-	YMR229C	RRP5	TRUE	NA	S	NA	NA	5.565562875	5.3211864	5.80993935	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.314325113	-0.440935409	-0.286958555	29.42	30.42	0.0848	8.9	1	9.882	0.838	TATA-less	TAF1-enriched	TRUE
chrXIV	553345	554903	+	YNL040W	YNL040W	TRUE	NA	G1	NA	NA	7.462550649	7.051547818	7.873553479	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0.105898227	-0.177293902	NA	21.67	12.6	0.0489	16.5	1	2.47	0.121	TATA-less	TAF1-enriched	TRUE
chrIV	176624	178187	+	YDL155W	CLB3	TRUE	NA	S	NA	NA	1.323399456	1.117741684	1.529057227	NA	fragile		NA	NA	NA	-0.02008122	-0.039823382	-0.035978765	0.086351899	0.016517301	0.119782208	-0.207903963	-0.037487388	4.95	25.59	0.104	7.1	1	2.581	0.268	TATA-less	TAF1-enriched	TRUE
chrXIV	626092	627174	-	YNL002C	RLP7	TRUE	NA	S	NA	NA	3.892446365	3.727162259	4.05773047	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.039358076	-0.294473691	-0.07483465	14.14	63.53	0.0429	19.2	1	14.34	0.615	TATA-less	TAF1-enriched	TRUE
chrXIII	523650	527576	+	YMR128W	ECM16	TRUE	NA	S	NA	NA	3.216042593	3.099349176	3.33273601	PAC cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.045404608	-0.328032903	-0.093208166	14.57	34.42	0.1186	6.2	1	5.323	0.631	TATA-containing	TAF1-enriched	TRUE
chrXIII	848667	850312	+	YMR289W	ABZ2	TRUE	NA	G2_M	NA	NA	4.392091625	4.171489448	4.612693801	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.308061467	0.028020428	0.066769975	12.56	6.85	0.0665	11.6	1	2.968	0.197	TATA-less	TAF1-enriched	TRUE
chrVIII	187903	189118	+	YHR040W	BCD1	TRUE	NA	S	NA	NA	2.726204453	2.294536032	3.157872874	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.144732285	-0.119325623	0.055058043	5.34	19.54	0.1036	7.2	1	2.726	0.282	TATA-less	TAF1-enriched	TRUE
chrXV	78173	79489	-	YOL128C	YGK3	TRUE	NA	S	NA	NA	1.481610796	1.138299468	1.824922124	NA	stable		NA	NA	NA	-0.0792448	-0.03756204	-0.156695074	-0.391746361	-0.244060121	NA	-0.412089486	0.14677023	NA	NA	0.0352	24.5	1	1.68	0.059	TATA-less	TAF1-enriched	TRUE
chrX	60799	63579	+	YJL198W	PHO90	TRUE	NA	S	NA	NA	2.523733088	2.328614222	2.718851953	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.11855993	-0.278740971	-0.246848553	14.47	34.58	0.1002	7.4	1	4.948	0.496	TATA-less	TAF1-enriched	TRUE
chrXII	384605	385451	-	YLR118C	YLR118C	TRUE	NA	G2_M	NA	NA	14.28027892	11.56494075	16.99561708	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.824019321	0.06638494	-0.224495977	52.95	4.07	0.0309	28.9	1	4.367	0.135	NA	NA	TRUE
chrXIV	215910	217137	-	YNL231C	PDR16	TRUE	NA	G1	G1	NA	3.224695578	2.900727885	3.54866327	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.493005842	-0.147382493	-0.213761249	9.1	31.14	0.0924	8.1	1	33.34	3.08	TATA-less	TAF1-depleted	TRUE
chrIV	174027	174623	-	YDL157C	YDL157C	TRUE	NA	G1	G1	NA	13.63570484	13.03165665	14.23975302	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.148204929	0.105406255	NA	33.32	14.86	0.0146	90.2	1	8.625	0.126	TATA-less	TAF1-enriched	NA
chrV	243095	243665	+	YER046W	SPO73	TRUE	NA	G1	NA	NA	NA	NA	2.362856636	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	0.14498884	0.079389534	0.139131194	7.16	7.5	0.0142	95.3	0	2.259	0.032	NA	NA	TRUE
chrIX	241216	241814	-	YIL065C	FIS1	TRUE	NA	G2_M	NA	NA	6.733732174	5.2054484	8.262015948	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.066514584	0.17914512	0.247557914	15.15	9.75	0.0525	15.2	1	7.114	0.374	TATA-less	TAF1-enriched	TRUE
chrXVI	303092	304109	+	YPL131W	RPL5	TRUE	NA	S	NA	NA	12.72268141	11.8723338	13.57302901	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.131936261	-0.298476418	-0.227744065	46.17	151.36	NA	NA	NA	NA	NA	TATA-less	TAF1-enriched	TRUE
chrXII	710744	712125	-	YLR287C	YLR287C	TRUE	NA	S	NA	NA	3.468680056	3.37898489	3.558375221	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.119785824	-0.271644897	NA	10.28	6.43	0.034	25.6	1	3.868	0.132	TATA-less	TAF1-enriched	NA
chrXVI	121738	125604	+	YPL226W	NEW1	TRUE	NA	S	NA	NA	3.813789773	3.538262163	4.089317383	PAC cluster	stable		NA	NA	NA	-0.039641787	-0.038814513	0.072025362	0.464498064	0.239190895	-0.505646007	-0.363569432	-0.216758976	27.94	51.27	0.1002	7.4	1	14.43	1.446	TATA-less	TAF1-enriched	TRUE
chrIV	394165	397292	+	YDL031W	DBP10	TRUE	NA	S	NA	NA	3.273894929	3.168091676	3.379698182	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.213639201	-0.191468565	-0.077965508	12.3	41.53	0.136	5.4	1	6.828	0.929	TATA-less	TAF1-enriched	TRUE
chrXVI	818285	819227	+	YPR143W	RRP15	TRUE	NA	S	NA	NA	2.699454716	2.31651103	3.082398402	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.272023747	-0.204862841	-0.064370084	8.04	62.27	0.0959	7.8	1	11.72	1.124	TATA-less	TAF1-enriched	TRUE
chrX	358039	359725	-	YJL044C	GYP6	TRUE	NA	G2_M	M/G1	NA	5.72110367	5.484757598	5.957449741	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.532770476	0.021274312	-0.295559477	12.23	14.8	0.045	18.2	1	10.13	0.456	TATA-less	TAF1-enriched	TRUE
chrII	59717	60777	-	YBL087C	RPL23A	TRUE	NA	S	NA	NA	20.08029121	22.04998421	18.11059821	RP cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.397961295	-0.214859712	-0.796793922	42.12	135.15	NA	NA	NA	NA	NA	TATA-less	TAF1-enriched	TRUE
chrIV	1427287	1428151	-	YDR486C	VPS60	TRUE	NA	G2_M	NA	NA	6.925449549	6.745056792	7.105842306	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.602621272	0.194758482	0.379675046	17.4	6.51	0.0549	14.4	1	4.02	0.221	TATA-less	TAF1-enriched	TRUE
chrXIII	341113	341836	+	YMR035W	IMP2	TRUE	NA	G2_M	NA	NA	7.796840755	4.706502159	10.88717935	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	0.113962679	0.066846087	0.29128891	8.54	4.66	0.0191	56.7	1	2.446	0.047	TATA-less	TAF1-enriched	TRUE
chrXIII	341113	341836	+	YMR035W	IMP2	TRUE	NA	G2_M	NA	NA	7.796840755	4.706502159	10.88717935	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.075766123	-0.012892375	-0.072352639	8.54	4.66	0.0191	56.7	1	2.446	0.047	TATA-less	TAF1-enriched	TRUE
chrXVI	44463	46528	-	YPL263C	KEL3	TRUE	NA	S	NA	NA	4.566160548	4.482189285	4.650131811	PAC cluster	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.413812587	-0.341630921	-0.251603729	21.47	15.47	0.0783	9.7	1	4.404	0.345	TATA-less	TAF1-enriched	TRUE
chrII	694974	697386	-	YBR238C	YBR238C	TRUE	NA	S	NA	NA	3.397007305	3.596868139	3.19714647	PAC cluster	fragile		NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.373678545	NA	NA	NA	0.1813	4	1	6.581	1.193	TATA-less	TAF1-enriched	TRUE
chrVII	1045568	1046579	-	YGR277C	CAB4	TRUE	NA	G1	NA	NA	5.728805401	5.080403542	6.37720726	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	-0.236205956	-0.036770697	NA	12.74	9.8	0.0734	10.4	1	2.467	0.181	NA	NA	TRUE
chrX	380165	381054	-	YJL035C	TAD2	TRUE	NA	S	NA	NA	4.741273973	3.77435622	5.708191726	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.083830402	-0.201554313	17.25	5.01	0.0514	15.6	1	1.326	0.068	NA	NA	TRUE
chrIII	62701	63293	-	YCL033C	MXR2	TRUE	NA	G2_M	NA	NA	12.16732597	17.11994942	7.21470252	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.665951465	0.239668674	0.22172887	75.08	2.08	0.0317	27.9	0	5.802	0.184	NA	NA	TRUE
chrXIV	316058	317778	-	YNL169C	PSD1	TRUE	NA	G1	G1	NA	3.606410285	3.117644578	4.095175991	NA	fragile		NA	NA	NA	NA	NA	NA	NA	NA	-0.44207042	-0.324948661	-0.259345967	14.31	28.39	0.0788	9.6	1	4.342	0.342	TATA-less	TAF1-enriched	TRUE
chrXVI	341068	344739	-	YPL110C	GDE1	TRUE	NA	G2_M	NA	NA	4.110716251	3.699498261	4.52193424	NA	stable		NA	NA	NA	NA	NA	NA	NA	NA	0.755457666	0.308103174	0.428046794	12.82	3.86	0.0932	8	1	1.857	0.173	NA	NA	TRUE
