,chr,start,end,acc,strand
1451,chrIV,1287943,1288393,YDR408C,-
1452,chrIV,1292015,1292465,YDR409W,+
1453,chrIV,1292196,1292646,YDR410C,-
1454,chrIV,1293197,1293647,YDR411C,-
1455,chrIV,1294736,1295186,YDR413C,-
1456,chrIV,1295050,1295500,YDR412W,+
1457,chrIV,1295311,1295761,YDR414C,-
1458,chrIV,1296843,1297293,YDR415C,-
1459,chrIV,1300690,1301140,YDR416W,+
1460,chrIV,1301455,1301905,YDR417C,-
1461,chrIV,1301763,1302213,YDR418W,+
1462,chrIV,1305074,1305524,YDR419W,+
1463,chrIV,1311464,1311914,YDR420W,+
1464,chrIV,1314567,1315017,YDR421W,+
1465,chrIV,1314927,1315377,YDR422C,-
1466,chrIV,1317869,1318319,YDR423C,-
1467,chrIV,1319236,1319686,YDR424C,-
1468,chrIV,1321529,1321979,YDR426C,-
1469,chrIV,1321591,1322041,YDR425W,+
1470,chrIV,1323117,1323567,YDR427W,+
1471,chrIV,1323240,1323690,YDR428C,-
1472,chrIV,1324377,1324827,YDR429C,-
1473,chrIV,1325353,1325803,YDR430C,-
1474,chrIV,1328351,1328801,YDR431W,+
1475,chrIV,1329690,1330140,YDR433W,+
1476,chrIV,1329984,1330434,YDR432W,+
1477,chrIV,1332603,1333053,YDR434W,+
1478,chrIV,1332712,1333162,YDR435C,-
1479,chrIV,1336603,1337053,YDR436W,+
1480,chrIV,1337424,1337874,YDR437W,+
1481,chrIV,1339036,1339486,YDR438W,+
1482,chrIV,1340529,1340979,YDR439W,+
1483,chrIV,1343971,1344421,YDR440W,+
1484,chrIV,1344241,1344691,YDR441C,-
1485,chrIV,1345233,1345683,YDR443C,-
1486,chrIV,1345689,1346139,YDR442W,+
1487,chrIV,1352045,1352495,YDR444W,+
1488,chrIV,1352082,1352532,YDR445C,-
1489,chrIV,1354550,1355000,YDR446W,+
1490,chrIV,1354600,1355050,YDR447C,-
1491,chrIV,1357019,1357469,YDR448W,+
1492,chrIV,1357274,1357724,YDR449C,-
1493,chrIV,1360525,1360975,YDR450W,+
1494,chrIV,1361020,1361470,YDR451C,-
1495,chrIV,1364552,1365002,YDR452W,+
1496,chrIV,1364880,1365330,YDR453C,-
1497,chrIV,1366052,1366502,YDR454C,-
1498,chrIV,1367273,1367723,YDR455C,-
1499,chrIV,1369137,1369587,YDR456W,+
1500,chrIV,1379329,1379779,YDR457W,+
1501,chrIV,1379861,1380311,YDR458C,-
1502,chrIV,1382131,1382581,YDR459C,-
1503,chrIV,1384528,1384978,YDR460W,+
1504,chrIV,1384936,1385386,YDR461W,+
1505,chrIV,1385424,1385874,YDR461C-A,-
1506,chrIV,1386290,1386740,YDR462W,+
1507,chrIV,1388224,1388674,YDR463W,+
1508,chrIV,1392392,1392842,YDR464C-A,-
1509,chrIV,1393007,1393457,YDR464W,+
1510,chrIV,1393062,1393512,YDR465C,-
1511,chrIV,1397483,1397933,YDR467C,-
1512,chrIV,1397627,1398077,YDR466W,+
1513,chrIV,1397799,1398249,YDR468C,-
1514,chrIV,1399419,1399869,YDR469W,+
1515,chrIV,1399490,1399940,YDR470C,-
1516,chrIV,1402404,1402854,YDR471W,+
1517,chrIV,1403940,1404390,YDR472W,+
1518,chrIV,1404111,1404561,YDR473C,-
1519,chrIV,1407244,1407694,YDR475C,-
1520,chrIV,1410142,1410592,YDR476C,-
1521,chrIV,1414057,1414507,YDR477W,+
1522,chrIV,1414886,1415336,YDR478W,+
1523,chrIV,1415021,1415471,YDR479C,-
1524,chrIV,1418020,1418470,YDR480W,+
1525,chrIV,1418450,1418900,YDR481C,-
1526,chrIV,1420223,1420673,YDR482C,-
1527,chrIV,1422260,1422710,YDR483W,+
1528,chrIV,1424406,1424856,YDR484W,+
1529,chrIV,1424720,1425170,YDR485C,-
1530,chrIV,1427202,1427652,YDR486C,-
1531,chrIV,1428143,1428593,YDR487C,-
1532,chrIV,1429088,1429538,YDR488C,-
1533,chrIV,1431690,1432140,YDR490C,-
1534,chrIV,1431956,1432406,YDR489W,+
1535,chrIV,1434400,1434850,YDR491C,-
1536,chrIV,1435524,1435974,YDR492W,+
1537,chrIV,1436335,1436785,YDR493W,+
1538,chrIV,1437741,1438191,YDR494W,+
1539,chrIV,1437906,1438356,YDR495C,-
1540,chrIV,1441087,1441537,YDR496C,-
1541,chrIV,1443547,1443997,YDR497C,-
1542,chrIV,1445667,1446117,YDR498C,-
1543,chrIV,1449893,1450343,YDR500C,-
1544,chrIV,1449964,1450414,YDR499W,+
1545,chrIV,1452750,1453200,YDR501W,+
1546,chrIV,1452908,1453358,YDR502C,-
1547,chrIV,1454726,1455176,YDR503C,-
1548,chrIV,1455967,1456417,YDR504C,-
1549,chrIV,1456595,1457045,YDR505C,-
1550,chrIV,1459628,1460078,YDR506C,-
1551,chrIV,1462070,1462520,YDR507C,-
1552,chrIV,1466353,1466803,YDR508C,-
1553,chrIV,1468223,1468673,YDR509W,+
1554,chrIV,1469538,1469988,YDR510W,+
1555,chrIV,1469595,1470045,YDR510C-A,-
1556,chrIV,1470142,1470592,YDR511W,+
1557,chrIV,1470284,1470734,YDR512C,-
1558,chrIV,1471194,1471644,YDR513W,+
1559,chrIV,1471448,1471898,YDR514C,-
1560,chrIV,1474426,1474876,YDR515W,+
1561,chrIV,1474874,1475324,YDR516C,-
1562,chrIV,1478129,1478579,YDR517W,+
1563,chrIV,1479856,1480306,YDR518W,+
1564,chrIV,1480658,1481108,YDR519W,+
1565,chrIV,1480985,1481435,YDR520C,-
1566,chrIV,1483126,1483576,YDR521W,+
1567,chrIV,1483695,1484145,YDR522C,-
1568,chrIV,1485466,1485916,YDR523C,-
1569,chrIV,1487166,1487616,YDR524C,-
1570,chrIV,1489142,1489592,YDR524W-C,+
1571,chrIV,1489230,1489680,YDR524C-B,-
1572,chrIV,1489771,1490221,YDR524C-A,-
1573,chrIV,1489884,1490334,YDR525W,+
1574,chrIV,1490709,1491159,YDR525W-A,+
1575,chrIV,1490975,1491425,YDR526C,-
1576,chrIV,1492136,1492586,YDR527W,+
1577,chrIV,1495507,1495957,YDR528W,+
1578,chrIV,1496061,1496511,YDR529C,-
1579,chrIV,1496565,1497015,YDR530C,-
1580,chrIV,1499031,1499481,YDR531W,+
1581,chrIV,1499226,1499676,YDR532C,-
1582,chrIV,1501270,1501720,YDR533C,-
1583,chrIV,1502999,1503449,YDR534C,-
1584,chrIV,1506506,1506956,YDR535C,-
1585,chrIV,1509364,1509814,YDR536W,+
1586,chrIV,1510756,1511206,YDR537C,-
1587,chrIV,1511504,1511954,YDR538W,+
1588,chrIV,1513309,1513759,YDR539W,+
1589,chrIV,1516817,1517267,YDR540C,-
1590,chrIV,1519564,1520014,YDR541C,-
1591,chrIV,1523261,1523711,YDR542W,+
1592,chrIV,1524534,1524984,YDR543C,-
1593,chrIV,1524739,1525189,TEL04R-XC,+
1594,chrIV,1524995,1525445,YDR544C,-
1595,chrIV,1525020,1525470,TEL04R-XR,+
1596,chrIV,1530763,1531213,YDR545C-A,-
1597,chrIV,1531361,1531811,YDR545W,+
1598,chrIV,1531583,1532033,TEL04R-YP,+
1599,chrIX,1,428,TEL09L-YP,-
1600,chrIX,383,833,YIL177C,-
1601,chrIX,978,1428,YIL177W-A,+
1602,chrIX,8693,9143,YIL176C,-
1603,chrIX,15791,16241,YIL173W,+
1604,chrIX,16684,17134,YIL172C,-
1605,chrIX,18362,18812,YIL171W-A,+
1606,chrIX,19494,19944,YIL171W,+
1607,chrIX,20870,21320,YIL170W,+
1608,chrIX,23019,23469,YIL169C,-
1609,chrIX,29065,29515,YIL168W,+
1610,chrIX,29698,30148,YIL167W,+
1611,chrIX,30771,31221,YIL166C,-
1612,chrIX,33496,33946,YIL165C,-
1613,chrIX,33987,34437,YIL164C,-
1614,chrIX,36799,37249,YIL163C,-
1615,chrIX,38661,39111,YIL162W,+
1616,chrIX,39790,40240,YIL161W,+
1617,chrIX,40091,40541,YIL160C,-
1618,chrIX,45602,46052,YIL159W,+
1619,chrIX,46550,47000,YIL158W,+
1620,chrIX,46673,47123,YIL157C,-
1621,chrIX,47343,47793,YIL156W-A,+
1622,chrIX,47732,48182,YIL156W-B,+
1623,chrIX,51166,51616,YIL156W,+
1624,chrIX,51659,52109,YIL155C,-
1625,chrIX,53808,54258,YIL154C,-
1626,chrIX,56076,56526,YIL153W,+
1627,chrIX,57061,57511,YIL152W,+
1628,chrIX,57238,57688,YIL151C,-
1629,chrIX,60861,61311,YIL150C,-
1630,chrIX,62791,63241,YIL149C,-
1631,chrIX,69245,69695,YIL148W,+
1632,chrIX,69413,69863,YIL147C,-
1633,chrIX,73942,74392,YIL146C,-
1634,chrIX,76153,76603,YIL145C,-
1635,chrIX,79799,80249,YIL144W,+
1636,chrIX,80410,80860,YIL143C,-
1637,chrIX,83108,83558,YIL142C-A,-
1638,chrIX,84590,85040,YIL142W,+
1639,chrIX,85092,85542,YIL141W,+
1640,chrIX,87487,87937,YIL140W,+
1641,chrIX,87879,88329,YIL139C,-
1642,chrIX,88781,89231,YIL138C,-
1643,chrIX,89765,90215,YIL137C,-
1644,chrIX,94531,94981,YIL136W,+
1645,chrIX,94808,95258,YIL135C,-
1646,chrIX,96384,96834,YIL134C-A,-
1647,chrIX,97980,98430,YIL134W,+
1648,chrIX,98262,98712,YIL133C,-
1649,chrIX,99699,100149,YIL132C,-
1650,chrIX,100681,101131,YIL131C,-
1651,chrIX,105326,105776,YIL130W,+
1652,chrIX,105871,106321,YIL129C,-
1653,chrIX,116674,117124,YIL128W,+
1654,chrIX,116832,117282,YIL127C,-
1655,chrIX,121858,122308,YIL126W,+
1656,chrIX,125470,125920,YIL125W,+
1657,chrIX,126850,127300,YIL124W,+
1658,chrIX,129561,130011,YIL123W,+
1659,chrIX,131465,131915,YIL122W,+
1660,chrIX,133522,133972,YIL121W,+
1661,chrIX,135869,136319,YIL120W,+
1662,chrIX,136554,137004,YIL119C,-
1663,chrIX,140097,140547,YIL118W,+
1664,chrIX,140513,140963,YIL117C,-
1665,chrIX,143735,144185,YIL116W,+
1666,chrIX,144164,144614,YIL115C,-
1667,chrIX,144289,144739,YIL115W-A,+
1668,chrIX,148873,149323,YIL114C,-
1669,chrIX,150942,151392,YIL113W,+
1670,chrIX,154496,154946,YIL112W,+
1671,chrIX,155448,155898,YIL111W,+
1672,chrIX,156884,157334,YIL110W,+
1673,chrIX,157171,157621,YIL109C,-
1674,chrIX,162627,163077,YIL108W,+
1675,chrIX,163178,163628,YIL107C,-
1676,chrIX,167180,167630,YIL106W,+
1677,chrIX,167309,167759,YIL105C,-
1678,chrIX,167454,167904,YIL105W-A,+
1679,chrIX,169781,170231,YIL104C,-
1680,chrIX,172750,173200,YIL103W,+
1681,chrIX,172918,173368,YIL102C-A,-
1682,chrIX,174482,174932,YIL102C,-
1683,chrIX,175207,175657,YIL101C,-
1684,chrIX,177243,177693,YIL100C-A,-
1685,chrIX,177376,177826,YIL100W,+
1686,chrIX,179303,179753,YIL099W,+
1687,chrIX,179672,180122,YIL098C,-
1688,chrIX,181795,182245,YIL097W,+
1689,chrIX,181916,182366,YIL096C,-
1690,chrIX,186086,186536,YIL095W,+
1691,chrIX,186203,186653,YIL094C,-
1692,chrIX,187767,188217,YIL093C,-
1693,chrIX,190861,191311,YIL091C,-
1694,chrIX,190993,191443,YIL092W,+
1695,chrIX,194856,195306,YIL090W,+
1696,chrIX,195866,196316,YIL089W,+
1697,chrIX,197743,198193,YIL088C,-
1698,chrIX,199462,199912,YIL087C,-
1699,chrIX,200053,200503,YIL086C,-
1700,chrIX,200261,200711,YIL085C,-
1701,chrIX,202176,202626,YIL084C,-
1702,chrIX,203456,203906,YIL083C,-
1703,chrIX,206157,206607,YIL082W,+
1704,chrIX,210823,211273,YIL079C,-
1705,chrIX,214353,214803,YIL078W,+
1706,chrIX,214752,215202,YIL077C,-
1707,chrIX,217375,217825,YIL076W,+
1708,chrIX,217763,218213,YIL075C,-
1709,chrIX,220867,221317,YIL074C,-
1710,chrIX,222615,223065,YIL073C,-
1711,chrIX,228069,228519,YIL072W,+
1712,chrIX,228314,228764,YIL071C,-
1713,chrIX,228676,229126,YIL071W-A,+
1714,chrIX,230172,230622,YIL070C,-
1715,chrIX,231289,231739,YIL069C,-
1716,chrIX,232884,233334,YIL068C,-
1717,chrIX,233046,233496,YIL068W-A,+
1718,chrIX,235555,236005,YIL067C,-
1719,chrIX,237459,237909,YIL066W-A,+
1720,chrIX,237999,238449,YIL066C,-
1721,chrIX,241134,241584,YIL065C,-
1722,chrIX,242381,242831,YIL064W,+
1723,chrIX,242626,243076,YIL063C,-
1724,chrIX,243789,244239,YIL062C,-
1725,chrIX,244557,245007,YIL061C,-
1726,chrIX,246450,246900,YIL059C,-
1727,chrIX,246476,246926,YIL060W,+
1728,chrIX,246848,247298,YIL058W,+
1729,chrIX,247802,248252,YIL057C,-
1730,chrIX,251620,252070,YIL056W,+
1731,chrIX,251807,252257,YIL055C,-
1732,chrIX,254510,254960,YIL054W,+
1733,chrIX,255740,256190,YIL053W,+
1734,chrIX,256061,256511,YIL052C,-
1735,chrIX,257620,258070,YIL051C,-
1736,chrIX,259543,259993,YIL050W,+
1737,chrIX,260636,261086,YIL049W,+
1738,chrIX,264542,264992,YIL048W,+
1739,chrIX,264944,265394,YIL047C,-
1740,chrIX,264999,265449,YIL047C-A,-
1741,chrIX,268125,268575,YIL046W-A,+
1742,chrIX,270328,270778,YIL046W,+
1743,chrIX,272427,272877,YIL045W,+
1744,chrIX,272788,273238,YIL044C,-
1745,chrIX,273866,274316,YIL043C,-
1746,chrIX,275008,275458,YIL042C,-
1747,chrIX,277242,277692,YIL041W,+
1748,chrIX,277882,278332,YIL040W,+
1749,chrIX,279620,280070,YIL039W,+
1750,chrIX,280038,280488,YIL038C,-
1751,chrIX,282929,283379,YIL037C,-
1752,chrIX,287183,287633,YIL036W,+
1753,chrIX,287334,287784,YIL035C,-
1754,chrIX,289055,289505,YIL034C,-
1755,chrIX,290145,290595,YIL033C,-
1756,chrIX,291861,292311,YIL032C,-
1757,chrIX,295387,295837,YIL031W,+
1758,chrIX,295553,296003,YIL030W-A,+
1759,chrIX,295950,296400,YIL030C,-
1760,chrIX,299756,300206,YIL029W-A,+
1761,chrIX,300346,300796,YIL029C,-
1762,chrIX,302148,302598,YIL028W,+
1763,chrIX,303450,303900,YIL027C,-
1764,chrIX,304231,304681,YIL026C,-
1765,chrIX,308101,308551,YIL025C,-
1766,chrIX,308502,308952,YIL024C,-
1767,chrIX,309220,309670,YIL023C,-
1768,chrIX,312336,312786,YIL022W,+
1769,chrIX,313099,313549,YIL021C-A,-
1770,chrIX,313560,314010,YIL021W,+
1771,chrIX,313613,314063,YIL020C-A,-
1772,chrIX,313935,314385,YIL020C,-
1773,chrIX,315893,316343,YIL019W,+
1774,chrIX,317590,318040,YIL018W,+
1775,chrIX,318100,318550,YIL017C,-
1776,chrIX,321649,322099,YIL016W,+
1777,chrIX,323755,324205,YIL015W,+
1778,chrIX,324899,325349,YIL014C-A,-
1779,chrIX,327645,328095,YIL014W,+
1780,chrIX,328107,328557,YIL013C,-
1781,chrIX,333002,333452,YIL012W,+
1782,chrIX,334313,334763,YIL011W,+
1783,chrIX,335357,335807,YIL010W,+
1784,chrIX,335504,335954,YIL009C-A,-
1785,chrIX,341249,341699,YIL009W,+
1786,chrIX,342627,343077,YIL008W,+
1787,chrIX,342794,343244,YIL007C,-
1788,chrIX,345078,345528,YIL006W,+
1789,chrIX,347564,348014,YIL005W,+
1790,chrIX,347676,348126,YIL004C,-
1791,chrIX,349733,350183,YIL003W,+
1792,chrIX,350331,350781,YIL002C,-
1793,chrIX,350345,350795,YIL002W-A,+
1794,chrIX,355190,355640,YIL001W,+
1795,chrIX,355712,356162,YIR001C,-
1796,chrIX,357193,357643,YIR002C,-
1797,chrIX,362661,363111,YIR003W,+
1798,chrIX,364169,364619,YIR004W,+
1799,chrIX,365135,365585,YIR005W,+
1800,chrIX,365276,365726,YIR006C,-
1801,chrIX,372648,373098,YIR007W,+
1802,chrIX,372830,373280,YIR008C,-
1803,chrIX,374895,375345,YIR009W,+
1804,chrIX,376811,377261,YIR010W,+
1805,chrIX,377073,377523,YIR011C,-
1806,chrIX,379476,379926,YIR012W,+
1807,chrIX,379919,380369,YIR013C,-
1808,chrIX,381472,381922,YIR014W,+
1809,chrIX,382032,382482,YIR015W,+
1810,chrIX,383159,383609,YIR016W,+
1811,chrIX,383215,383665,YIR017C,-
1812,chrIX,383815,384265,YIR017W-A,+
1813,chrIX,385464,385914,YIR018C-A,-
1814,chrIX,385496,385946,YIR018W,+
1815,chrIX,389472,389922,YIR019C,-
1816,chrIX,393784,394234,ICR1,-
1817,chrIX,394155,394605,YIR020C,-
1818,chrIX,394809,395259,YIR020W-A,+
1819,chrIX,396589,397039,PWR1,+
1820,chrIX,397115,397565,YIR020C-B,-
1821,chrIX,398090,398540,YIR021W,+
1822,chrIX,398376,398826,YIR021W-A,+
1823,chrIX,399004,399454,YIR022W,+
1824,chrIX,402283,402733,YIR023C-A,-
1825,chrIX,402408,402858,YIR023W,+
1826,chrIX,402664,403114,YIR024C,-
1827,chrIX,404534,404984,YIR025W,+
1828,chrIX,404676,405126,YIR026C,-
1829,chrIX,406160,406610,YIR027C,-
1830,chrIX,410181,410631,YIR028W,+
1831,chrIX,411488,411938,YIR029W,+
1832,chrIX,411553,412003,YIR030C,-
1833,chrIX,412863,413313,YIR031C,-
1834,chrIX,412932,413382,YIR030W-A,+
1835,chrIX,414805,415255,YIR032C,-
1836,chrIX,419115,419565,YIR033W,+
1837,chrIX,419446,419896,YIR034C,-
1838,chrIX,420852,421302,YIR035C,-
1839,chrIX,421904,422354,YIR036C,-
1840,chrIX,422686,423136,YIR036W-A,+
1841,chrIX,423416,423866,YIR037W,+
1842,chrIX,423587,424037,YIR038C,-
1843,chrIX,430296,430746,YIR039C,-
1844,chrIX,433289,433739,YIR040C,-
1845,chrIX,433953,434403,YIR041W,+
1846,chrIX,434793,435243,YIR042C,-
1847,chrIX,436943,437393,YIR043C,-
1848,chrIX,437894,438344,YIR044C,-
1849,chrV,1,351,TEL05L-YP,-
1850,chrV,164,614,YEL077C,-
1851,chrV,762,1212,YEL077W-A,+
1852,chrV,4085,4535,YEL076C-A,-
1853,chrV,4364,4814,YEL076C,-
1854,chrV,5131,5581,YEL075W-A,+
1855,chrV,5245,5695,YEL075C,-
1856,chrV,6114,6564,YEL074W,+
1857,chrV,6179,6629,TEL05L-XC,-
1858,chrV,6630,7080,YEL073C,-
1859,chrV,14065,14515,YEL072W,+
1860,chrV,17543,17993,YEL071W,+
1861,chrV,20876,21326,YEL070W,+
1862,chrV,21351,21801,YEL069C,-
1863,chrV,25546,25996,YEL068C,-
1864,chrV,26089,26539,YEL067C,-
1865,chrV,26935,27385,YEL066W,+
1866,chrV,29273,29723,YEL065W,+
1867,chrV,29440,29890,YEL064C,-
1868,chrV,31594,32044,YEL063C,-
1869,chrV,35904,36354,YEL062W,+
1870,chrV,36209,36659,YEL061C,-
1871,chrV,39946,40396,YEL060C,-
1872,chrV,42189,42639,YEL059C-A,-
1873,chrV,42610,43060,YEL059W,+
1874,chrV,44652,45102,YEL058W,+
1875,chrV,44800,45250,YEL057C,-
1876,chrV,48135,48585,YEL056W,+
1877,chrV,48194,48644,YEL055C,-
1878,chrV,52380,52830,YEL054C,-
1879,chrV,52905,53355,YEL053W-A,+
1880,chrV,53693,54143,YEL053C,-
1881,chrV,57819,58269,YEL052W,+
1882,chrV,58987,59437,YEL051W,+
1883,chrV,59390,59840,YEL050W-A,+
1884,chrV,59415,59865,YEL050C,-
1885,chrV,63740,64190,YEL049W,+
1886,chrV,64358,64808,YEL048C,-
1887,chrV,65285,65735,YEL047C,-
1888,chrV,67404,67854,YEL046C,-
1889,chrV,68740,69190,YEL045C,-
1890,chrV,69962,70412,YEL044W,+
1891,chrV,73113,73563,YEL043W,+
1892,chrV,75117,75567,YEL042W,+
1893,chrV,77081,77531,YEL041W,+
1894,chrV,79106,79556,YEL040W,+
1895,chrV,79536,79986,YEL039C,-
1896,chrV,80848,81298,YEL038W,+
1897,chrV,81152,81602,YEL037C,-
1898,chrV,82867,83317,YEL036C,-
1899,chrV,84945,85395,YEL035C,-
1900,chrV,85513,85963,YEL034C-A,-
1901,chrV,85838,86288,YEL034W,+
1902,chrV,86248,86698,YEL033W,+
1903,chrV,86940,87390,YEL032C-A,-
1904,chrV,89722,90172,YEL032W,+
1905,chrV,93652,94102,YEL031W,+
1906,chrV,94483,94933,YEL030C-A,-
1907,chrV,96456,96906,YEL030W,+
1908,chrV,96639,97089,YEL029C,-
1909,chrV,98779,99229,YEL028W,+
1910,chrV,101179,101629,YEL027W,+
1911,chrV,102089,102539,YEL026W,+
1912,chrV,102300,102750,YEL025C,-
1913,chrV,107557,108007,YEL024W,+
1914,chrV,108404,108854,YEL023C,-
1915,chrV,115618,116068,YEL022W,+
1916,chrV,116676,117126,YEL021W,+
1917,chrV,117083,117533,YEL020C-B,-
1918,chrV,117220,117670,YEL020W-A,+
1919,chrV,118252,118702,YEL020C,-
1920,chrV,120398,120848,YEL019C,-
1921,chrV,121355,121805,YEL018C-A,-
1922,chrV,121960,122410,YEL018W,+
1923,chrV,122154,122604,YEL017C-A,-
1924,chrV,124412,124862,YEL017W,+
1925,chrV,124543,124993,YEL016C,-
1926,chrV,128019,128469,YEL015W,+
1927,chrV,128203,128653,YEL014C,-
1928,chrV,130658,131108,YEL013W,+
1929,chrV,132313,132763,YEL012W,+
1930,chrV,134934,135384,YEL011W,+
1931,chrV,136271,136721,YEL009C-A,-
1932,chrV,136279,136729,YEL010W,+
1933,chrV,138721,139171,YEL009C,-
1934,chrV,140542,140992,YEL008W,+
1935,chrV,140626,141076,YEL008C-A,-
1936,chrV,143575,144025,YEL007W,+
1937,chrV,145365,145815,YEL006W,+
1938,chrV,145622,146072,YEL005C,-
1939,chrV,147670,148120,YEL004W,+
1940,chrV,148367,148817,YEL003W,+
1941,chrV,148479,148929,YEL002C,-
1942,chrV,150104,150554,YEL001C,-
1943,chrV,155563,156013,YER001W,+
1944,chrV,157148,157598,YER002W,+
1945,chrV,157384,157834,YER003C,-
1946,chrV,160184,160634,YER004W,+
1947,chrV,162224,162674,YER005W,+
1948,chrV,163986,164436,YER006W,+
1949,chrV,164244,164694,YER006C-A,-
1950,chrV,165817,166267,YER007W,+
1951,chrV,165960,166410,YER007C-A,-
1952,chrV,167708,168158,YER008C,-
1953,chrV,172318,172768,YER009W,+
1954,chrV,172417,172867,YER010C,-
1955,chrV,175723,176173,YER011W,+
1956,chrV,178263,178713,YER012W,+
1957,chrV,181928,182378,YER013W,+
1958,chrV,183631,184081,YER014C-A,-
1959,chrV,183961,184411,YER014W,+
1960,chrV,186555,187005,YER015W,+
1961,chrV,188993,189443,YER016W,+
1962,chrV,189403,189853,YER017C,-
1963,chrV,191783,192233,YER018C,-
1964,chrV,193880,194330,YER019W,+
1965,chrV,194067,194517,YER019C-A,-
1966,chrV,196367,196817,YER020W,+
1967,chrV,198169,198619,YER021W,+
1968,chrV,200628,201078,YER022W,+
1969,chrV,201422,201872,YER023C-A,-
1970,chrV,201656,202106,YER023W,+
1971,chrV,204724,205174,YER024W,+
1972,chrV,206484,206934,YER025W,+
1973,chrV,207413,207863,YER026C,-
1974,chrV,208860,209310,YER027C,-
1975,chrV,210532,210982,YER028C,-
1976,chrV,212487,212937,YER029C,-
1977,chrV,213670,214120,YER030W,+
1978,chrV,213807,214257,YER031C,-
1979,chrV,217612,218062,YER032W,+
1980,chrV,217792,218242,YER033C,-
1981,chrV,222252,222702,YER034W,+
1982,chrV,222894,223344,YER035W,+
1983,chrV,223177,223627,YER036C,-
1984,chrV,226504,226954,YER037W,+
1985,chrV,226758,227208,YER038C,-
1986,chrV,228356,228806,YER039C,-
1987,chrV,228481,228931,YER038W-A,+
1988,chrV,229163,229613,YER039C-A,-
1989,chrV,231637,232087,YER040W,+
1990,chrV,234390,234840,YER041W,+
1991,chrV,235318,235768,YER042W,+
1992,chrV,235448,235898,YER043C,-
1993,chrV,237333,237783,YER044C,-
1994,chrV,238360,238810,YER044C-A,-
1995,chrV,239811,240261,YER045C,-
1996,chrV,243261,243711,YER046W,+
1997,chrV,243576,244026,YER047C,-
1998,chrV,243679,244129,YER046W-A,+
1999,chrV,246743,247193,YER048C,-
2000,chrV,250996,251446,YER048W-A,+
2001,chrV,253312,253762,YER049W,+
2002,chrV,253751,254201,YER050C,-
2003,chrV,255784,256234,YER051W,+
2004,chrV,256111,256561,YER052C,-
2005,chrV,258496,258946,YER053C,-
2006,chrV,260534,260984,YER053C-A,-
2007,chrV,261763,262213,YER054C,-
2008,chrV,264705,265155,YER055C,-
2009,chrV,266291,266741,YER056C,-
2010,chrV,269223,269673,YER056C-A,-
2011,chrV,270544,270994,YER057C,-
2012,chrV,271853,272303,YER058W,+
2013,chrV,273609,274059,YER059W,+
2014,chrV,275915,276365,YER060W,+
2015,chrV,277814,278264,YER060W-A,+
2016,chrV,278050,278500,YER061C,-
2017,chrV,279713,280163,YER062C,-
2018,chrV,282216,282666,YER063W,+
2019,chrV,282363,282813,YER064C,-
2020,chrV,285023,285473,YER065C,-
2021,chrV,290449,290899,YER066W,+
2022,chrV,291603,292053,YER066C-A,-
2023,chrV,292140,292590,YER067C-A,-
2024,chrV,292292,292742,YER067W,+
2025,chrV,294463,294913,YER068W,+
2026,chrV,295201,295651,YER068C-A,-
2027,chrV,297797,298247,YER069W,+
2028,chrV,301405,301855,YER070W,+
2029,chrV,301716,302166,YER071C,-
2030,chrV,302988,303438,YER072W,+
2031,chrV,305318,305768,YER073W,+
2032,chrV,306846,307296,YER074W,+
2033,chrV,307844,308294,YER074W-A,+
2034,chrV,308188,308638,YER075C,-
2035,chrV,312189,312639,YER076C,-
2036,chrV,313387,313837,YER076W-A,+
2037,chrV,314373,314823,YER077C,-
2038,chrV,316629,317079,YER078C,-
2039,chrV,318460,318910,YER078W-A,+
2040,chrV,319202,319652,YER079W,+
2041,chrV,319802,320252,YER079C-A,-
2042,chrV,321526,321976,YER080W,+
2043,chrV,323745,324195,YER081W,+
2044,chrV,324161,324611,YER082C,-
2045,chrV,326030,326480,YER083C,-
2046,chrV,327101,327551,YER084W,+
2047,chrV,327395,327845,YER085C,-
2048,chrV,327760,328210,YER084W-A,+
2049,chrV,329995,330445,YER086W,+
2050,chrV,331717,332167,YER087C-A,-
2051,chrV,332115,332565,YER087W,+
2052,chrV,332268,332718,YER087C-B,-
2053,chrV,333076,333526,YER088C,-
2054,chrV,335596,336046,YER088C-A,-
2055,chrV,335723,336173,YER088W-B,+
2056,chrV,335774,336224,YER089C,-
2057,chrV,338222,338672,YER090C-A,-
2058,chrV,339226,339676,YER090W,+
2059,chrV,339384,339834,YER091C,-
2060,chrV,342290,342740,YER091C-A,-
2061,chrV,343082,343532,YER093C,-
2062,chrV,343139,343589,YER092W,+
2063,chrV,347692,348142,YER093C-A,-
2064,chrV,348469,348919,YER094C,-
2065,chrV,351026,351476,YER095W,+
2066,chrV,353051,353501,YER096W,+
2067,chrV,355119,355569,YER097W,+
2068,chrV,357445,357895,YER098W,+
2069,chrV,357926,358376,YER099C,-
2070,chrV,360055,360505,YER100W,+
2071,chrV,360402,360852,YER101C,-
2072,chrV,363414,363864,YER102W,+
2073,chrV,366167,366617,YER103W,+
2074,chrV,367458,367908,YER104W,+
2075,chrV,367604,368054,YER105C,-
2076,chrV,373111,373561,YER106W,+
2077,chrV,373348,373798,YER107C,-
2078,chrV,374364,374814,YER107W-A,+
2079,chrV,374768,375218,YER109C,-
2080,chrV,378504,378954,YER110C,-
2081,chrV,382495,382945,YER111C,-
